modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
,ME2,Malic enzyme (NADP),mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,{},CLO1313_RS09500,Clo1313_1879,Pyruvate metabolism,4,,,,"['I removed the proton from the reaction because Fong, biocyc, and biomodels for C therm as well as Reed E coli model did not have proton involved']",,,0,1000,,,"{'BIGG': ['ME1, ME1_rev, ME1m'], 'BIOCYC': ['1.1.1.39-RXN'], 'BIOPATH': ['RXN00044'], 'BRENDA': ['BR29301, BS188108'], 'EC NUMBER': ['1.1.1.38        1.1.1.39'], 'IAT CORE': ['ANA3, MAE'], 'KEGG': ['R00216'], 'METACYC': ['1.1.1.39-RXN, MALIC-NADP-RXN'], 'MXNREF': ['MNXR3470'], 'RHEA': ['12653, 12654, 12655, 12656'], 'SEED': ['rxn00159']}"
delete:not_active_in_ctherm,OAADC,Oxaloacetate decarboxylase,h_c + oaa_c --> co2_c + pyr_c,h_c + oaa_c --> co2_c + pyr_c,{},CLO1313_RS08660 or CLO1313_RS08665,Clo1313_1712 or Clo1313_1713,Pyruvate metabolism,4,,,,,,,0,1000,,,"{'BIGG': ['OAADC'], 'BIOCYC': ['OXALODECARB-RXN'], 'BRENDA': ['BR289'], 'EC NUMBER': ['1.1.1.38        1.1.1.40        4.1.1.3'], 'IAT CORE': ['ANA4, ODC'], 'KEGG': ['R00217, R00219'], 'METACYC': ['OXALODECARB-RXN'], 'MXNREF': ['MNXR3932'], 'RHEA': ['15641, 15642, 15643, 15644'], 'SEED': ['rxn00162']}"
delete:duplicate,ACLS_DUPLICATE_ISOMER,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,h_c + 2.0 pyr_c --> alac_c + co2_c,{},CLO1313_RS00530 or CLO1313_RS00535 or CLO1313_RS01575,Clo1313_0099 or Clo1313_0100 or Clo1313_0305,C5-Branched dibasic acid metabolism,4,,,"['alac_c', '3hmoa_c', 'alac__S_c']",,,,0,1000,,,"{'BIGG': ['ACLS, ACLSm'], 'BIOCYC': ['ACETOLACTSYN-RXN'], 'BRENDA': ['BR37100, BS386675'], 'EC NUMBER': ['2.2.1.6'], 'IAT CORE': ['VAL1'], 'KEGG': ['R00006, R00226'], 'METACYC': ['ACETOLACTSYN-RXN'], 'MXNREF': ['MNXR392'], 'RHEA': ['20501, 20502, 20503, 20504, 25249, 25250, 25251, 25252'], 'SEED': ['rxn00003'], 'UPA': ['UCR00226, UER00677']}"
,ACALD,Acetaldehyde dehydrogenase (acetylating),accoa_c + h_c + nadh_c --> acald_c + coa_c + nad_c,accoa_c + h_c + nadh_c --> acald_c + coa_c + nad_c,{},CLO1313_RS09095 or CLO1313_RS14795,Clo1313_1798 or Clo1313_2911,Pyruvate metabolism,4,,,,,,,0,1000,,,"{'BIGG': ['ACALD, ACALDi'], 'BIOCYC': ['ACETALD-DEHYDROG-RXN'], 'BRENDA': ['BR36771, BS5610'], 'EC NUMBER': ['1.2.1.10'], 'IAT CORE': ['FEM5, AdhE'], 'KEGG': ['R00228'], 'METACYC': ['ACETALD-DEHYDROG-RXN'], 'MXNREF': ['MNXR353'], 'RHEA': ['23288, 23289, 23290, 23291'], 'SEED': ['rxn00171'], 'UPA': ['UCR00228, UER00798']}"
,PTAr,Phosphotransacetylase,accoa_c + pi_c <=> actp_c + coa_c,accoa_c + pi_c <=> actp_c + coa_c,{},CLO1313_RS06030 or CLO1313_RS06500,Clo1313_1185,Pyruvate metabolism,4,,,,"['Kept reversible due to Fong, biocyc models although irreversible in core model']",,,-1000,1000,,,"{'BIGG': ['PTAr'], 'BIOCYC': ['PHOSACETYLTRANS-RXN'], 'BIOPATH': ['RXN01329'], 'BRENDA': ['BR44082'], 'EC NUMBER': ['2.3.1.8'], 'IAT CORE': ['FEM7, PTA'], 'KEGG': ['R00230'], 'METACYC': ['PHOSACETYLTRANS-RXN'], 'MXNREF': ['MNXR4502'], 'RHEA': ['19521, 19522, 19523, 19524'], 'SEED': ['rxn00173'], 'UPA': ['UCR00230, UER00459']}"
,ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,{},CLO1313_RS08515,Clo1313_1686,Pyruvate metabolism,2,"['ACS', 'ACADCOAT', 'ACADT']",,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['ACS, ACSm, ACSp, ACSr'], 'BRENDA': ['BR60'], 'EC NUMBER': ['6.2.1.1'], 'KEGG': ['R00235'], 'METACYC': ['ACETATE--COA-LIGASE-RXN'], 'MXNREF': ['MNXR453'], 'REACTOME': ['REACT_102092, REACT_103451, REACT_103963, REACT_106135, REACT_107058, REACT_112167, REACT_126451, REACT_126565, REACT_127883, REACT_128964, REACT_131936, REACT_132061, REACT_140422, REACT_140586, REACT_142131, REACT_142301, REACT_142910, REACT_155619, REACT_156822, REACT_159842, REACT_21284, REACT_30831, REACT_31444, REACT_32745, REACT_553, REACT_79543, REACT_80622, REACT_84415, REACT_85826, REACT_90656, REACT_92738, REACT_96525, REACT_98155, REACT_98920'], 'RHEA': ['23176, 23177, 23178, 23179'], 'SEED': ['rxn00175']}"
,ACADCOAT,acetyl adenylate:CoA acetyltransferase,accoa_c + amp_c + h_c --> acad_c + coa_c,accoa_c + amp_c + h_c --> acad_c + coa_c,{},CLO1313_RS08515,Clo1313_1686,Pyruvate metabolism,2,"['ACS', 'ACADCOAT', 'ACADT']",,"['amp_c', 'dgmp_c']",,,"['MET_ID:acad_c, NOTE: (changed bigg id to readable)']",0,1000,,,"{'BIOPATH': ['RXN00855'], 'EC NUMBER': ['6.2.1.1'], 'KEGG': ['R00236'], 'MXNREF': ['MNXR56276'], 'SEED': ['rxn00176']}"
,GLU5K,Glutamate 5-kinase,atp_c + glu__L_c --> adp_c + glu5p_c,atp_c + glu__L_c --> adp_c + glu5p_c,{},CLO1313_RS12350,Clo1313_2439,Arginine and proline metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['GLU5K, GLU5Km'], 'BIOCYC': ['GLUTKIN-RXN'], 'BIOPATH': ['RXN00674'], 'BRENDA': ['BR47821'], 'EC NUMBER': ['2.7.2.11'], 'KEGG': ['R00239'], 'METACYC': ['GLUTKIN-RXN'], 'MXNREF': ['MNXR32778'], 'RHEA': ['14877, 14878, 14879, 14880'], 'SEED': ['rxn00179'], 'UPA': ['UCR00239, UER00359']}"
,GLUDy,Glutamate dehydrogenase (NADP),glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,{},CLO1313_RS09335 or CLO1313_RS07420 or CLO1313_RS08370 or CLO1313_RS09345,Clo1313_1847 or Clo1313_1467 or Clo1313_1657 or Clo1313_1849,"Alanine, aspartate and glutamate metabolism",4,,,"['glu__L_c', 'glu__D_c']","['Currently keeping reversible. Roberts and core model has reversible, biocyc and biomodels has irreversible and going in opposite directions']",NH3 or NH4,,-1000,1000,,,"{'BIGG': ['GLUDx, GLUDxi, GLUDxm'], 'BIOCYC': ['GLUTDEHYD-RXN'], 'BIOPATH': ['RXN00886'], 'BRENDA': ['BR36868, BS258930'], 'EC NUMBER': ['1.4.1.3         1.4.1.4'], 'IAT CORE': ['TAM1r'], 'KEGG': ['R00248'], 'METACYC': ['GLUTAMATE-DEHYDROGENASE-RXN'], 'MXNREF': ['MNXR32818'], 'RHEA': ['15133, 15134, 15135, 15136'], 'SEED': ['rxn00182'], 'UPA': ['UCR00243, UER00591']}"
,OPAH,5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir),5oxpro_c + atp_c + 2.0 h2o_c <=> adp_c + glu__L_c + h_c + pi_c,5oxpro_c + atp_c + 2.0 h2o_c <=> adp_c + glu__L_c + h_c + pi_c,{},s0001,,Glutathione metabolism,2,,,"['atp_c', 'dgtp_c']",['Included based on overflow metabolism from high-substrate loading.'],,,-1000,1000,PMC420788,Accordingt to reference reaction may be spontaneous,"{'EC NUMBER': ['3.5.2.9     2.3.2.4     4.3.2.6'], 'KEGG': ['R00251']}"
,GLNS,Glutamine synthetase,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,{},CLO1313_RS06875 or CLO1313_RS11700 or CLO1313_RS10315 or CLO1313_RS10285,Clo1313_1357 or Clo1313_2303 or Clo1313_2038 or Clo1313_2031,"Alanine, aspartate and glutamate metabolism",2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['GLNS'], 'BIOCYC': ['GLUTAMINESYN-RXN'], 'BIOPATH': ['RXN00627'], 'BRENDA': ['BR6443, BS370870'], 'EC NUMBER': ['6.3.1.2'], 'KEGG': ['R00253'], 'METACYC': ['GLUTAMINESYN-RXN'], 'MXNREF': ['MNXR32767'], 'REACTOME': ['REACT_104940, REACT_107536, REACT_110265, REACT_114174, REACT_1171, REACT_28913, REACT_29344, REACT_39662, REACT_77424, REACT_77661, REACT_85570, REACT_90402, REACT_90408, REACT_92620'], 'RHEA': ['16169, 16170, 16171, 16172'], 'SEED': ['rxn00187'], 'UPA': ['UCR00253, UER01025']}"
,NADS2,Nicotinate-mononucleotide adenylyltransferase,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + h_c + nad_c + ppi_c,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + h_c + nad_c + ppi_c,{},CLO1313_RS09620,Clo1313_1901,Nicotinate and nicotinamide metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['NADS2'], 'BIOCYC': ['NAD-SYNTH-GLN-RXN'], 'BIOPATH': ['RXN00979'], 'BRENDA': ['BR147, BS369021'], 'EC NUMBER': ['6.3.5.1'], 'KEGG': ['R00257'], 'METACYC': ['NAD-SYNTH-GLN-RXN'], 'MXNREF': ['MNXR33034'], 'REACTOME': ['REACT_100897, REACT_101777, REACT_102466, REACT_106358, REACT_11135, REACT_127418, REACT_143676, REACT_33314, REACT_34274, REACT_34563, REACT_78384, REACT_79027, REACT_81822, REACT_86976, REACT_90698, REACT_93162, REACT_94257, REACT_98272, REACT_98584'], 'RHEA': ['24384, 24385, 24386, 24387'], 'SEED': ['rxn00190'], 'UPA': ['UCR00257, UER00334']}"
,ALATA_L,L-alanine transaminase,glu__L_c + pyr_c <=> akg_c + ala__L_c,glu__L_c + pyr_c <=> akg_c + ala__L_c,{},CLO1313_RS07420 or CLO1313_RS08370,Clo1313_1467 or Clo1313_1657,Glutamate Metabolism,2,"['ALATA_L', 'AGT', 'GLYTA']",,"['glu__L_c', 'glu__D_c']",,,,-1000,1000,,,"{'BIGG': ['ALATA_L, ALATA_Lm'], 'BRENDA': ['BR47397'], 'EC NUMBER': ['2.6.1.2'], 'KEGG': ['R00258'], 'METACYC': ['ALANINE-AMINOTRANSFERASE-RXN, RXN-13698'], 'MXNREF': ['MNXR32635'], 'REACTOME': ['REACT_101406, REACT_101725, REACT_102570, REACT_103424, REACT_104815, REACT_106468, REACT_108178, REACT_110124, REACT_126660, REACT_127290, REACT_127843, REACT_129798, REACT_130644, REACT_132444, REACT_133160, REACT_133945, REACT_134002, REACT_134533, REACT_134795, REACT_135174, REACT_137248, REACT_137319, REACT_137632, REACT_137653, REACT_139471, REACT_140978, REACT_141474, REACT_144197, REACT_144230, REACT_144593, REACT_144887, REACT_144961, REACT_145163, REACT_145477, REACT_146036, REACT_146318, REACT_146563, REACT_146878, REACT_196, REACT_21263, REACT_21311, REACT_29599, REACT_30303, REACT_32776, REACT_356, REACT_78782, REACT_79645, REACT_80629, REACT_80730, REACT_82015, REACT_83615, REACT_85049, REACT_86003, REACT_87728, REACT_88275, REACT_88337, REACT_89745, REACT_91807, REACT_92910, REACT_93831, REACT_94700, REACT_95491'], 'RHEA': ['19453, 19454, 19455, 19456'], 'SEED': ['rxn00191'], 'UPA': ['UCR00258, UER00586']}"
,ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,{},CLO1313_RS10900,Clo1313_2150,Arginine and proline metabolism,2,,TRUE,"['glu__L_c', 'glu__D_c']",,,,0,1000,,,"{'BIGG': ['ACGS, ACGSm'], 'BIOCYC': ['N-ACETYLTRANSFER-RXN'], 'BIOPATH': ['RXN00418'], 'BRENDA': ['BR43962'], 'EC NUMBER': ['2.3.1.1'], 'KEGG': ['R00259'], 'METACYC': ['N-ACETYLTRANSFER-RXN'], 'MXNREF': ['MNXR30582'], 'REACTOME': ['REACT_102238, REACT_154206, REACT_2139, REACT_29654, REACT_31801, REACT_81010, REACT_81256, REACT_85183, REACT_92648, REACT_99864, REACT_99960'], 'RHEA': ['24292, 24293, 24294, 24295'], 'SEED': ['rxn00192'], 'UPA': ['UCR00259, UER00106']}"
,ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c --> akg_c + co2_c + h_c + nadph_c,icit_c + nadp_c --> akg_c + co2_c + nadph_c,{},CLO1313_RS09840,Clo1313_1944,Citrate cycle (TCA cycle),4,,,"['cit_c', 'icit_c']",,,,0,1000,,,"{'BIGG': ['ICDHy, ICDHym, ICDHyp, ICDHyr, ICDHyrm'], 'BIOCYC': ['ISOCITDEH-RXN'], 'BRENDA': ['BR29305, BS188124, BS370920'], 'EC NUMBER': ['1.1.1.42'], 'IAT CORE': ['TCA4'], 'KEGG': ['R00267'], 'MXNREF': ['MNXR31729'], 'RHEA': ['19629, 19630, 19631, 19632, 25592'], 'SEED': ['rxn00198'], 'UPA': ['UCR00267, UER00995']}"
,OXSCL,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),h_c + oxalosucc_c --> akg_c + co2_c,h_c + oxalosucc_c --> akg_c + co2_c,{},CLO1313_RS09840,Clo1313_1944,Citrate cycle (TCA cycle),2,,,,,,"['MET_ID:oxalosucc_c, NOTE: (bigg id replaced for readable version)']",0,1000,,,"{'BIOCYC': ['RXN-8642'], 'EC NUMBER': ['1.1.1.42'], 'KEGG': ['R00268']}"
,GALU,UTP-glucose-1-phosphate uridylyltransferase,g1p_c + h_c + utp_c <=> ppi_c + udpg_c,g1p_c + h_c + utp_c <=> ppi_c + udpg_c,{},CLO1313_RS14460,Clo1313_2847,Pentose and glucuronate interconversions,2,,,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']",,,,-1000,1000,,,"{'BIGG': ['GALU, GALUi'], 'BIOCYC': ['GLUC1PURIDYLTRANS-RXN'], 'BRENDA': ['BR47905'], 'EC NUMBER': ['2.7.7.9'], 'KEGG': ['R00289'], 'METACYC': ['GLUC1PURIDYLTRANS-RXN'], 'MXNREF': ['MNXR37123'], 'RHEA': ['19889, 19890, 19891, 19892'], 'SEED': ['rxn00213']}"
,HEX1,Hexokinase (D-glucose:ATP),atp_c + glc__D_c --> adp_c + g6p_c + h_c,atp_c + glc__D_c --> adp_c + g6p_c + h_c,{},CLO1313_RS02480 or CLO1313_RS09260,Clo1313_0489 or Clo1313_1831,Streptomycin biosynthesis,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['HEX1'], 'BIOCYC': ['RXN-1685'], 'BRENDA': ['BR47759'], 'EC NUMBER': ['2.7.1.1         2.7.1.2'], 'KEGG': ['R00299'], 'MXNREF': ['MNXR2720'], 'RHEA': ['17825, 17826, 17827, 17828'], 'SEED': ['rxn00216'], 'UPA': ['UCR00299, UER00180']}"
,ACKr,Acetate kinase,actp_c + adp_c --> ac_c + atp_c,actp_c + adp_c --> ac_c + atp_c,{},CLO1313_RS06035,Clo1313_1186,Pyruvate metabolism,4,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['ACKr'], 'BIOCYC': ['ACETATEKIN-RXN'], 'BIOPATH': ['RXN00036'], 'BRENDA': ['BR47820'], 'EC NUMBER': ['2.7.2.1         2.7.2.15'], 'IAT CORE': ['FEM8, ACK'], 'KEGG': ['R00315'], 'METACYC': ['ACETATEKIN-RXN, RXN-7957'], 'MXNREF': ['MNXR390'], 'RHEA': ['11352, 11353, 11354, 11355'], 'SEED': ['rxn00225'], 'UPA': ['UCR00315, UER00458']}"
,ACADT,ATP:acetate adenylyltransferase,acad_c + ppi_c --> ac_c + atp_c + h_c,acad_c + ppi_c --> ac_c + atp_c + h_c,{},CLO1313_RS08515,Clo1313_1686,Pyruvate metabolism,2,"['ACS', 'ACADCOAT', 'ACADT']",,"['atp_c', 'dgtp_c']",,,"['MET_ID:acad_c, NOTE: (changed bigg id to readable)']",0,1000,,,"{'BIOPATH': ['RXN01017'], 'EC NUMBER': ['6.2.1.1'], 'KEGG': ['R00316'], 'MXNREF': ['MNXR56306'], 'SEED': ['rxn00226']}"
,NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c <=> adp_c + gtp_c,atp_c + gdp_c <=> adp_c + gtp_c,{},CLO1313_RS07615,Clo1313_1508,Purine metabolism,2,"['NDPK1', 'CYTDK1', 'CYTDK2']",,"['atp_c', 'dgtp_c']",,,,-1000,1000,,,"{'BIGG': ['NDPK1, NDPK1m, NDPK1n'], 'BIOCYC': ['GDPKIN-RXN'], 'BIOPATH': ['RXN00134'], 'BRENDA': ['BS358287'], 'EC NUMBER': ['2.7.4.6'], 'KEGG': ['R00330'], 'METACYC': ['GDPKIN-RXN'], 'MXNREF': ['MNXR55757'], 'RHEA': ['27686, 27687, 27688, 27689'], 'SEED': ['rxn00237']}"
,GK1,Guanylate kinase (GMP:ATP),atp_c + gmp_c <=> adp_c + gdp_c,atp_c + gmp_c <=> adp_c + gdp_c,{},CLO1313_RS04815,Clo1313_0941,Purine metabolism,2,,,"['atp_c', 'dgtp_c']",,,,-1000,1000,,,"{'BIGG': ['GK1, GK1m'], 'BIOCYC': ['GUANYL-KIN-RXN'], 'BIOPATH': ['RXN00728'], 'BRENDA': ['BR47853'], 'EC NUMBER': ['2.7.4.8         2.7.4.12'], 'KEGG': ['R00332'], 'METACYC': ['GUANYL-KIN-RXN'], 'MXNREF': ['MNXR55568'], 'RHEA': ['20780, 20781, 20782, 20783'], 'SEED': ['rxn00239']}"
,PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",h2o_c + ppgpp_c --> gdp_c + h_c + ppi_c,h2o_c + ppgpp_c --> gdp_c + h_c + ppi_c,{},CLO1313_RS04655,Clo1313_0909,Purine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIOCYC': ['RXN0-6427'], 'EC NUMBER': ['3.1.7.2: &apos;3.1.7.2'], 'KEGG': ['R00336']}"
,PC,Pyruvate carboxylase,atp_c + co2_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,atp_c + co2_c + h2o_c + pyr_c --> adp_c + 2.0 h_c + oaa_c + pi_c,{},CLO1313_RS07685 or CLO1313_RS08660 or CLO1313_RS08665,Clo1313_1523 or Clo1313_1712 or Clo1313_1713,Citrate cycle (TCA cycle),0,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,uses putative oxaloacetate decarboxylase genes,"{'BRENDA': ['BR153, BS378575'], 'EC NUMBER': ['6.4.1.1'], 'KEGG': ['R00344'], 'METACYC': ['PYRUVATE-CARBOXYLASE-RXN'], 'MXNREF': ['MNXR4112'], 'RHEA': ['20844, 20845, 20846, 20847']}"
,CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,{},CLO1313_RS02945,Clo1313_0578,Citrate cycle (TCA cycle),4,,,"['cit_c', 'icit_c']",,,,0,1000,,,"{'BIGG': ['CS, CSm, CSp'], 'BIOCYC': ['CITSYN-RXN'], 'BIOPATH': ['RXN00484'], 'BRENDA': ['BR44118'], 'EC NUMBER': ['2.3.3.1         2.3.3.3'], 'IAT CORE': ['TCA1'], 'KEGG': ['R00351'], 'METACYC': ['CITRATE-RE-SYNTHASE-RXN, CITSYN-RXN'], 'MXNREF': ['MNXR1298'], 'REACTOME': ['REACT_100557, REACT_100736, REACT_103631, REACT_107569, REACT_108814, REACT_115605, REACT_1282, REACT_136406, REACT_33399, REACT_81802, REACT_83386, REACT_88391, REACT_91540, REACT_94285, REACT_96643'], 'RHEA': ['16845, 16846, 16847, 16848'], 'SEED': ['rxn00256'], 'UPA': ['UCR00351, UER00717']}"
,ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,akg_c + asp__L_c <=> glu__L_c + oaa_c,{},CLO1313_RS07420 or CLO1313_RS09395 or CLO1313_RS01930 or CLO1313_RS08370,Clo1313_1467 or Clo1313_1858 or Clo1313_0381 or Clo1313_1657,"Alanine, aspartate and glutamate metabolism",2,,,"['glu__L_c', 'glu__D_c']",,,,-1000,1000,,,"{'BIGG': ['ASPTA, ASPTAm, ASPTAp'], 'BRENDA': ['BR47671'], 'EC NUMBER': ['2.6.1.1'], 'KEGG': ['R00355'], 'METACYC': ['ASPAMINOTRANS-RXN, RXN-13697'], 'MXNREF': ['MNXR32641'], 'REACTOME': ['REACT_100368, REACT_100619, REACT_101098, REACT_102229, REACT_103354, REACT_104061, REACT_104365, REACT_104429, REACT_105965, REACT_106583, REACT_107401, REACT_107443, REACT_107885, REACT_108823, REACT_109978, REACT_110378, REACT_110632, REACT_115016, REACT_115018, REACT_115765, REACT_115783, REACT_115863, REACT_115958, REACT_118137, REACT_129227, REACT_137266, REACT_146729, REACT_149329, REACT_152887, REACT_154035, REACT_1558, REACT_1632, REACT_2078, REACT_280, REACT_28947, REACT_28965, REACT_30957, REACT_31038, REACT_31146, REACT_32675, REACT_34754, REACT_67549, REACT_77115, REACT_77562, REACT_77740, REACT_77909, REACT_79228, REACT_80018, REACT_82808, REACT_82944, REACT_83266, REACT_83751, REACT_84706, REACT_84867, REACT_84943, REACT_85085, REACT_86367, REACT_87626, REACT_88032, REACT_88642, REACT_89173, REACT_89219, REACT_89398, REACT_89436, REACT_90427, REACT_91145, REACT_92155, REACT_93870, REACT_93954, REACT_95383, REACT_96608, REACT_98564'], 'RHEA': ['21824, 21825, 21826, 21827'], 'SEED': ['rxn00260'], 'UPA': ['UCR00355, UER01024']}"
,AGT,Alanine glyoxylate aminotransferase,ala__L_c + glx_c <=> gly_c + pyr_c,ala__L_c + glx_c <==> gly_c + pyr_c,{},CLO1313_RS09935,Clo1313_1964,"Alanine, aspartate and glutamate metabolism",2,"['ALATA_L', 'AGT', 'GLYTA']",,"['ala__L_c', 'ala_B_c', 'ala__D_c']",,check reversibility,,-1000,1000,,,"{'BIOCYC': ['ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN'], 'EC NUMBER': ['2.6.1.44'], 'KEGG': ['R00369']}"
,GLYAT,Glycine C-acetyltransferase,accoa_c + gly_c <=> 2aobut_c + coa_c,accoa_c + gly_c <=> 2aobut_c + coa_c,{},CLO1313_RS11210,Clo1313_2210,"Glycine, serine and threonine metabolism",2,,TRUE,"['aspsa_c', '2aobut_c']",,,,-1000,1000,,,"{'EC NUMBER': ['2.3.1.29'], 'KEGG': ['R00371']}"
,GLYTA,Glycine transaminase,akg_c + gly_c <=> glu__L_c + glx_c,akg_c + gly_c <=> glu__L_c + glx_c,{},CLO1313_RS09935,Clo1313_1964,"Glycine, serine and threonine metabolism",2,"['ALATA_L', 'AGT', 'GLYTA']",,"['glu__L_c', 'glu__D_c']",,,,-1000,1000,,,"{'BIOCYC': ['ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN'], 'EC NUMBER': ['2.6.1.4         2.6.1.44'], 'KEGG': ['R00372']}"
,ALAR,Alanine racemase,ala__L_c --> ala__D_c,ala__L_c --> ala__D_c,{},CLO1313_RS01490 or CLO1313_RS07230,Clo1313_0288 or Clo1313_1429,D-Alanine metabolism,2,,,"['ala__L_c', 'ala_B_c', 'ala__D_c']",,,,0,1000,,,"{'BIGG': ['ALAR, ALARi'], 'BIOCYC': ['ALARACECAT-RXN'], 'BIOPATH': ['RXN01498'], 'BRENDA': ['BR162'], 'EC NUMBER': ['5.1.1.1'], 'KEGG': ['R00401'], 'METACYC': ['ALARACECAT-RXN'], 'MXNREF': ['MNXR626'], 'RHEA': ['20249, 20250, 20251, 20252'], 'SEED': ['rxn00283'], 'UPA': ['UCR00401, UER00497']}"
,UAG2EMA,UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis),h2o_c + uacgam_c --> acmana_c + h_c + udp_c,h2o_c + uacgam_c --> acmana_c + h_c + udp_c,{},CLO1313_RS00970 or CLO1313_RS01165,Clo1313_0188 or Clo1313_0229,Amino sugar and nucleotide sugar metabolism,2,,TRUE,"['udp_c', 'DUPLICATE_udp_c']",,,,0,1000,,,"{'BIGG': ['UAG2EMA, UAG2EMAi'], 'BRENDA': ['BS386735, BS386738, BS407444, BS923'], 'EC NUMBER': ['5.1.3.14     3.2.1.183'], 'KEGG': ['R00414'], 'METACYC': ['RXN-9987'], 'MXNREF': ['MNXR55977'], 'SEED': ['rxn00292']}"
,UAGP2UAG,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,{},CLO1313_RS01110,Clo1313_0217,Amino sugar and nucleotide sugar metabolism,2,,,"['uacgam_c', 'udpacgal_c', 'uacmam_c']",,,,0,1000,,,"{'BIOCYC': ['NAG1P-URIDYLTRANS-RXN'], 'BIOPATH': ['RXN01274'], 'BRENDA': ['BR47870'], 'EC NUMBER': ['2.7.7.23'], 'KEGG': ['R00416'], 'METACYC': ['NAG1P-URIDYLTRANS-RXN'], 'MXNREF': ['MNXR5200'], 'RHEA': ['13509, 13510, 13511, 13512']}"
,UAG4Ei,UDP-N-acetylglucosamine 4-epimerase,uacgam_c --> udpacgal_c,uacgam_c --> udpacgal_c,{},CLO1313_RS14705 or CLO1313_RS01190 or CLO1313_RS10370,Clo1313_2893 or Clo1313_0234 or Clo1313_2047,Amino sugar and nucleotide sugar metabolism,2,,,"['uacgam_c', 'udpacgal_c', 'uacmam_c']",,,,0,1000,,,"{'BIOCYC': ['UDPGLUCEPIM-RXN'], 'EC NUMBER': ['5.1.3.2         5.1.3.7'], 'KEGG': ['R00418']}"
,UAG2E,UDP-N-acetylglucosamine 2-epimerase,uacgam_c --> uacmam_c,uacgam_c --> uacmam_c,{},CLO1313_RS00970 or CLO1313_RS01165,Clo1313_0188 or Clo1313_0229,Amino sugar and nucleotide sugar metabolism,2,,,"['uacgam_c', 'udpacgal_c', 'uacmam_c']",,,,0,1000,,,"{'BIGG': ['UAG2E, UAG2Ei'], 'BIOCYC': ['UDPGLCNACEPIM-RXN'], 'BRENDA': ['BR189'], 'EC NUMBER': ['5.1.3.14'], 'KEGG': ['R00420'], 'METACYC': ['UDPGLCNACEPIM-RXN'], 'MXNREF': ['MNXR55976'], 'RHEA': ['17213, 17214, 17215, 17216'], 'SEED': ['rxn00297']}"
